"row","country","math_avg","reading_avg","science_avg"
"1","Albania",395.296184882985,396.424292030361,399.068070187645
"2","Argentina",395.402240758294,403.511227301963,410.36927767434
"3","Australia",492.842854775223,500.845302789863,511.250599426835
"4","Austria",507.711752555205,490.918020588854,507.21308212408
"5","Belgium",519.868902163545,512.319008235431,510.475078527393
"6","Brazil",382.500792689023,400.453951004999,395.321877541137
"7","Bulgaria",442.158361359334,442.452408386975,450.912064956456
"8","Canada",509.328982185295,511.235905950613,514.712928578723
"9","Chile",444.419644267795,459.999572272462,464.572823949825
"10","China-Shanghai",610.547029689009,567.419714390574,578.545699787522
"11","Chinese Taipei",557.576850661594,521.925756533245,522.062074015878
"12","Colombia",386.185442036813,414.549008530806,408.593733803593
"13","Connecticut (USA)",501.166969475545,516.234778962876,515.535334767236
"14","Costa Rica",406.093702194698,440.585832768362,429.577424923946
"15","Croatia",469.833120826677,484.195212240415,490.023575738818
"16","Czech Republic",519.774977679745,513.008170583818,527.646151210813
"17","Denmark",486.185453107873,483.913032602593,482.030660299425
"18","Estonia",521.805049947688,517.804449696589,543.191741180163
"19","Finland",507.525776248726,510.905534783101,527.974758806207
"20","Florida (USA)",464.957490506329,489.046882331224,481.641615242616
"21","France",499.470435703447,509.233471515283,502.743980641665
"22","Germany",513.932189262148,507.464805258948,523.712944431114
"23","Greece",453.890067746341,477.386100253659,467.31830977561
"24","Hong Kong-China",561.274095760171,544.897734668094,555.367735203426
"25","Hungary",485.39084006237,496.648703534304,502.312433762994
"26","Iceland",493.147076539339,482.831068928164,478.391804760547
"27","Indonesia",376.07179037709,397.65952678762,382.980894788332
"28","Ireland",500.903629186603,523.219633692185,521.70040919059
"29","Israel",468.885821661721,491.295521266073,473.713286508408
"30","Italy",491.904166765359,495.244209509864,500.048432883854
"31","Japan",536.06459985829,537.757029428436,547.115662462604
"32","Jordan",382.623486558681,395.891656365445,404.726902117079
"33","Kazakhstan",431.537518371212,394.558117561983,426.022069163223
"34","Korea",554.228403556527,536.063023008146,537.924857679316
"35","Latvia",495.449250046447,495.539979307942,506.291268857408
"36","Liechtenstein",537.89977440273,518.354060068259,525.543230375427
"37","Lithuania",478.680924534431,477.694993395409,496.255069423993
"38","Luxembourg",490.269929802206,487.816583701027,491.698981380753
"39","Macao-China",538.313045529522,509.244811771321,520.849361293346
"40","Malaysia",422.788401404657,400.523189898018,421.528710044256
"41","Massachusetts (USA)",506.372065989553,520.235667440511,519.778603656413
"42","Mexico",418.634889170561,429.045324288588,419.531485150565
"43","Montenegro",406.39744432968,419.855637436762,408.028382736088
"44","Netherlands",518.133386278027,506.276459663677,517.24765896861
"45","New Zealand",501.390670985784,514.091550058262,517.747983780005
"46","Norway",489.752776099018,503.996930132309,494.324447652582
"47","Perm(Russian Federation)",487.16372350937,487.863249971607,484.044469278819
"48","Peru",367.810655227838,384.370435791218,373.867285037282
"49","Poland",520.592925917083,521.066081289342,528.588248556544
"50","Portugal",484.559764732611,484.732845595945,486.43309620762
"51","Qatar",376.761702626299,387.687265502462,383.505693607514
"52","Romania",445.797145644462,439.499222447773,439.192428163185
"53","Russian Federation",482.702941942267,475.291749493405,486.511393767922
"54","Serbia",447.735377497865,445.420436848847,443.702190414176
"55","Singapore",568.359669004688,537.372244644789,546.69705230797
"56","Slovak Republic",485.644733882001,468.407183967507,476.542311757161
"57","Slovenia",484.48120878024,461.817466266283,495.854671223143
"58","Spain",495.35986490736,493.759060091652,504.05408132185
"59","Sweden",479.152938027872,485.592068644426,485.639950358953
"60","Switzerland",520.672206367441,497.243058909965,503.114019333868
"61","Thailand",441.147091114139,452.712667468968,456.070029412655
"62","Tunisia",387.279744860449,403.791502881779,397.419007329249
"63","Turkey",448.833618275578,475.561779125413,463.877753527228
"64","United Arab Emirates",431.373626017391,437.239950582609,445.08912913913
"65","United Kingdom",489.645544900861,498.292309574216,510.043154016905
"66","United States of America",481.032476175171,497.471638790679,497.788388489353
"67","Uruguay",410.957686980245,413.573967939793,418.086895315146
"68","Vietnam",510.589966686832,508.25916600121,528.15794815487
